CO_MUNICIPIO;UF;N_EQUIPES;TIPOS;NO_MUNICIPIO
330010;RJ;3;EMAD I, EMAP;Angra dos Reis
330023;RJ;1;EMAD I;Armação dos Búzios
330025;RJ;1;EMAD II;Arraial do Cabo
330040;RJ;3;EMAD I, EMAP;Barra Mansa
330045;RJ;6;EMAD I, EMAP;Belford Roxo
330060;RJ;1;EMAD II;Bom Jesus do Itabapoana
330070;RJ;3;EMAD I, EMAP;Cabo Frio
330100;RJ;6;EMAD I, EMAP;Campos dos Goytacazes
330170;RJ;3;EMAD I, EMAP;Duque de Caxias
330185;RJ;1;EMAD I;Guapimirim
330190;RJ;4;EMAD I, EMAP;Itaboraí
330200;RJ;2;EMAD I, EMAP;Itaguaí
330220;RJ;2;EMAD I, EMAP;Itaperuna
330225;RJ;2;EMAD II, EMAP;Itatiaia
330227;RJ;2;EMAD I, EMAP;Japeri
330240;RJ;3;EMAD I, EMAP;Macaé
330250;RJ;3;EMAD I, EMAP;Magé
330270;RJ;4;EMAD I, EMAP;Maricá
330280;RJ;1;EMAP-R;Mendes
330285;RJ;3;EMAD I, EMAP;Mesquita
330320;RJ;2;EMAD I, EMAP;Nilópolis
330340;RJ;2;EMAD I, EMAP;Nova Friburgo
330350;RJ;11;EMAD I, EMAP;Nova Iguaçu
330360;RJ;2;EMAD I, EMAP;Paracambi
330370;RJ;1;EMAD I;Paraíba do Sul
330380;RJ;1;EMAD I;Paraty
330390;RJ;4;EMAD I, EMAP;Petrópolis
330395;RJ;2;EMAD II, EMAP;Pinheiral
330400;RJ;2;EMAD II, EMAP;Piraí
330420;RJ;2;EMAD I, EMAP;Resende
330430;RJ;2;EMAD I, EMAP;Rio Bonito
330455;RJ;27;EMAD I, EMAP;Rio de Janeiro
330490;RJ;14;EMAD I, EMAP;São Gonçalo
330510;RJ;7;EMAD I, EMAP;São João de Meriti
330520;RJ;3;EMAD I, EMAP;São Pedro da Aldeia
330550;RJ;1;EMAD II;Saquarema
330555;RJ;2;EMAD I, EMAP;Seropédica
330560;RJ;2;EMAD II, EMAP;Silva Jardim
330575;RJ;1;EMAD II;Tanguá
330580;RJ;3;EMAD I, EMAP;Teresópolis
330600;RJ;2;EMAD I, EMAP;Três Rios
330610;RJ;1;EMAD I;Valença
330620;RJ;2;EMAD II, EMAP;Vassouras
330630;RJ;3;EMAD I, EMAP;Volta Redonda
